ID,screen_name,name,location,follower_count,friends_count,like_count,description
1374753560659902468,chief_immhi,Eze Emmanuel,,65,774,,Public journal | Getting 1% better everyday
1574533805871857666,VirtuAli8474,Ali,Hell,0,104,,He/They Gaymer Artist :D Discord: alii #8474
1572594715656085506,RichHussle15,RichHussle15,Earth,20,343,,U Only Get 1 Life💰🦅
1248367068895940608,nyc_misael,Misael ❤️‍🔥,"New York, USA",8,925,,🤨
365843255,Jillers86,Jillers86,Canada,1250,1043,,"Retired @Twitch OG, gamer, wife, fur mama, & #BreastCancerSURVIVOR"
1457542240788693000,Prixnncess29,Princesa Rodriguez,,11,56,,🇲🇽💞
1469130186235027458,TheEastMan2000,Dan Eastman,"Buffalo, NY",58,366,,News Producer @news4buffalo | 2022 Alumni @UBuffalo
1576680848958660611,av3rysq,Avery,,0,3,,hello :)
1576675988662091776,GorillaGang716,Gorilla Gear by. Nigz Omega,"Buffalo, NY",0,36,,"Nigz Omega is a Musical Artist / Clothes designer in Buffalo, New York. #BillsMafia Gorilla Gear™ is my trademark & #GorillaGANG🦍 is my brand. ©2022"
1576678740809097216,Zoetatoe,Zoetato♒️,,0,74,,Live Laugh Love
628559223,briix7,brianna abbey,,82,270,,"CC '16, MCC '17, Brockport ‘20"
1104080049748217856,nico_wyatt,nico wyatt,"Florida, USA",1,98,,South Florida Photographer checking in
1474634085427552256,luvr1sin,stars🧛🏽‍♀️,At my momma's house 🫢,1,32,,matching with @rivers1in
818929022809894912,behr80,behr kevin,"Lyndon, KY",3614,1611,,"love taking loads, definitely a pig 🐷 though. NSFW and +18 and older."
1175516462519398400,martin_mofo,Danielle mofo Martin,"Ohio, USA",124,1273,,"LIVE,LAUGH,LOVE Take the World on One Day At A Time!#Superfamily"
1576678363518963714,theym__7,YousifM7,,0,48,,𝐽𝑢𝑠𝑡 𝐷𝑜 𝐼𝑡 𝑁𝑜𝑡ℎ𝑖𝑛𝑔 𝐼𝑠 𝐼𝑚𝑝𝑜𝑠𝑠𝑖𝑏𝑙𝑒 𝑆𝑐𝑜𝑟𝑝𝑖𝑜 ♏
1576677414880550912,MrsJQuinnzel,MrsJQuinnzel,,3,16,,https://t.co/xnQeqj1XAm
1454217928145088515,ShraMlh,شراء اثاث مستعمل بالرياض0564552862,"الرياض, المملكة العربية السعود",288,4285,,نشتري اثاث مستعمله بالرياض مكيفات ، مطابخ،غرف،نوم،ثلاجات،غسالات،كنب،جميع انوع اثاث مستعمل بالرياض0564552862
1569540818092044290,1nitials_abc,n0x,,2,88,,darn.
1250147272198889475,whumax_,Max ⚒,,272,690,,⚒☘️
1555922548382121986,diorsavy,🦇,your basement ,7,179,,priv spam ☆ she/her
1576671446809513984,JonahDistrust,Ace,,2,92,,Heyo I'm the voice actor for Jonah Eden from the upcoming game distrust
1515213118959456257,mnljkn,mmkp mnljkn,,0,4,,egg
1153466764392640512,KharraziSoraya,𝘴𝘰𝘳𝘢𝘺𝘢 彡,"Colleyville, TX",20,16,,🇮🇷🇲🇽 insta- sorayakharrazi
1541281048784302081,PatTheP0tat0,Pat,,2,56,,Minor☆I like food🍓☆Plushie Collector🧸☆Rythm Gamer🎮☆Man I'm dead⚰️
1576671900671123456,LeonardIndset,Leonard Indset,,0,48,,Hi I am Just a Normal guy on Twitter (Follow me on tik tok) https://t.co/huSw1HfrqG
1561088244363698176,miyahscrumbsalt,miyah,,3,164,,MY MAIN IS @miyahscrumbs THIS IS MY ALT/PRIV
1348367572346019846,DrewLaventure,DLW Wrestling,"New York, USA",54,706,,#foreverafirefly my brother is KLW Wrestling Likes to play Fortnite PRO at it And have a good day.
1576669406381637633,Sainath26739549,Sainath Kamble,,0,13,,देश प्रेमी 🇮🇳 शांत मुलगा 😎 and I love chocolate 🍫 😇
1479257746969088006,AL3ticia,anakk,,1,34,,sp_zs eminemmm#1091
1329825480002965508,meekbarbie8,meek Junior Barbie,,1229,3689,,made in Harlem
1512615883155415040,Aiden84432424,Aiden,,0,93,,B more 💯🔥
1468898634200764418,Ellimac2322,Camille Rodriguez,"El Paso, TX",2,11,,"EPFD - COMMUNITY RISK DIVISION , PUBLIC FIRE EDUCATION"
836394009950105600,UniqueGamer16,Jessica Hales ( Hatfield),"Tennessee, USA",24,245,,I'm a video gamer for life. Love photography and animals.
1571354532554350594,FartGroyper2000,FartGroyper2000,,139,202,,The one and only.
1557483230009376773,miniongloyper,gloyper,Cozy.tv,185,264,,will follow back
2467674680,maar5555,buscador de sueños,mexico,42,139,,critico lo que considero injusto
1477793241995137029,NO3DMZ,Noe Dominguez,,4,95,,Hip Hop head
1460746617968107521,CrMichell27130,cr______.___,,5,32,,For fun
1576665910366068736,Nyx_Wheelxr,Nyx Wheeler !!,,0,51,,Heyyy im Nyx!! im gay & trans :) he/they pronouns pleaseee :D
1495291508253245441,Darling1Dianna,Dianna,,16,74,,⠀⠀⠀⠀♡𝙵𝚕𝚘𝚠𝚎𝚛𝚜𝚜♡
1576665956063105025,tonofmad420,Maddy,"New York, USA",0,1,,good ass weed in the air 24/7
1576661419168235525,Nahllawi,Stephan,Israel,0,56,,"Lover, not a fighter."
1576654082290290688,YaneisyAlboniga,Yaneisy Alboniga,"California, USA",3,93,,Viva Cuba Libre”Patria y Vida” #cubaestadofallido#cubapalacalle#abajoladictadura#abajoelcomunismo
1540475607091478528,nemesgaz,mizuki —☆,she/they 💌,3,85,,"live, laugh, love Xiao"
1214846672368369664,SKJ0070,S.K. Jangir,,37,100,,Bio to gayab hai 🙄🤔
1576079572184940544,AustinXiaoting,Austin The Wolfdog #VegasStrong,,0,49,,Just An Autistic Boy Who Likes a lot of Things
1570501319152074753,TheMochaDogs,꧁~𝙲𝚑𝚘𝚌𝚘~𝙼𝚘𝚌𝚑𝚊~𝙳𝚘𝚐~꧂,Cafe,33,167,,ฅ^•ﻌ•^ฅ 𝙷𝚎/𝚂𝚑𝚎/𝚃𝚑𝚎𝚢 (𝙶𝚎𝚗𝚍𝚎𝚛 𝚏𝚕𝚞𝚒𝚍)
1574212010220421122,spacecoin9,spacecoin,,82,786,,space
197946740,trishxclsv,trish ♡,"Houston, TX",636,525,,#doge
1561902821800386561,Marigold_1011,Marigold🌼,The electric sheep,13,305,,🇲🇽|22 years old|🌸Pansexual|🌟Autistic|✨She/Her(ella para los q hablan español)|🌼The Girl 𓁹‿𓁹
1576658144410755072,avlvvr,araea,,1,16,,cool bio
30415994,GeoffN28,Geoff Nelson,"Vancouver, BC, canada",571,1555,,"i am reaching new highs with a family, higher education, and afterward a new career."
1340817966074650624,That_Fan_Alex,Alex Kolb,Hell on Earth,32,247,,"- They/them - Author of award-winning ""FLIADS"" - Buckle up, 'cause here we go. - ᴺᴼᵂ ᴾᴸᴬᵞᴵᴺᴳ: If We Have Each Other - Alec Benjamin✧"
1576658813238874114,TrishaYearwoo45,Trisha Yearwood,,3,290,,"Hello my lovely fans out there, thanks for your love and support. here isy private chat account, follow this account"
1490680905807306754,weloveOreo_,好爱吃奥利奥,,6,66,,OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO OREO
1576657468687532033,k_a_t_i_e_e_,katie,,1,3,,hi
1576654607152988161,NachoMostacho40,Nacho Mostacho,"Azcapotzalco, Distrito Federal",0,39,,Soy un Nacho que le gustan los chismes con unos chiles así de picosos
1574150686463385606,spegetio33,sloppy bones,,1,75,,i don’t even know anymore
418979760,DarleneKinton,Darlene Kinton,Castle Donington ,6,71,,Owner of Kinton&Daughter Family Funeral Directors & celebrant.
1576648690688745472,kingxofxdreams,Johnathan Christopher Hart,,0,35,,…I AM ZEUS
467000694,Disneyzilla,Indi 📚🇵🇷,"Winter Haven, FL",210,874,,"Awesome mom, award-winning introvert, reader, devoted tv fan, podcast aficionado, problem solver, organizer"
1576652756512817153,Spoopy392___,Spoopy,not sure,1,38,,I am spoopy
1336088410100912130,pixelxxo,limi,cmon bby america,4,67,,♡、misomiso
1325303291312435201,soggyciggies,patito,,26,85,,yikes forevers ☆ :•)
882173774451191808,BoskettOlivia,Olivia Boskett,"Texas, USA",5,87,,R&B/Soul Pop Music Movies Television Travel Fitness & Wellness Government & Politics Gov Officials & Agencies Haha Humor NBA MLB Basketball
90282879,themcconicowire,Matt McConico,"Duluth, MN",2382,3340,,News Director @KBJR6news & @CBS3Duluth. Check-out @UWRiverFalls. Support @HonorFlightNet & @HonorFlightNV. Owner @MNAuroraFC.
252728971,AvriMx,Afri Sinaga,"Jambi,Sumatra,Indonesia",241,1364,,[Perfection Only Begotten Of God]
1518676602359631878,Demented4Lyfe,Leslie B,,86,326,,#OTeam #GenSquad
1576651309603639296,joselyn62012,mm_??,,0,51,,stop get off my pf and fuck off pervs.
1553030180310073344,Binge_Rouse,BR,,20,180,,"hornball early 20's (M), more of asexual one-time FR34K, Thats into Hentai, Sexting, DDLG, Edging, seggs-dolls, Creampie, Squirt @Dom_Collectz"
1234674720299245568,badcat010,badcat101🍄 ꩜,,137,597,,she/her | dtqktwt
1507658028098723841,MiraGreat3,MiraGreat,,2,127,,Born to be Great
1412583645655625730,YnKIM32976345,Tae.armii,,12,51,,ⁱ ᵈᵒⁿᵗ ᵏⁿᵒʷ ʷʰᵃᵗ ᵗᵒ ᵖᵒˢᵗ ʰᵉʳᵉ ʸᵉᵗ
1554613517331865601,masonsoloss,mateo,,6,131,,he/they lol
1461862786473078788,sonic9gaming012,sonic9gaming012,,0,63,,hello i am just your twitter user if you find this very pog of you lol
1549387751962906626,Crystalprettyd4,Crystalprettydiva4💖💖,Detroit ,91,914,,Crystalprettydiva 4💖💖 youtuber hustler wife 💎💎💎💎💎💕💎 instagram crystalprettydiva424💖
1576645552632205315,taylorf22881641,taylorfrost,,1,69,,Nothing
295322356,cara_flanagan_1,cara,WV,47,297,,... be real.
1576637348078567429,thepatriotbruce,Bruce,,2,338,,Restoring Constitutional Integrity
1576643996046311426,Florenc97384793,Florence White,,0,5,,I'm just looking for friends
1502748409798836225,garaazi_i,garazi,𝐵𝑖𝑙𝑏𝑎𝑜,30,203,,"???, pero mwah💋 ♡"
610949065,Slavic50,Slavic50,"Liverpool, England",81,274,,"Takiwatanga Te Reo Hāpai.Don't be them.Adapt,persevere and overcome.Tweets my own views. https://t.co/aLcVn0hCgz"
1515004623119163393,the11thdayy,rô,nct ,97,277,,jeno main collector and renjun main admirer
932320694226079744,AndiWhite23,Andrzej Białek,,4,71,,"Lubię JDM, piłkę nożną i muzykę."
1557347069047672832,r_yxna,r_yxna,your mom's house,0,41,,idk
1576641507494227968,Allisoncore3,victor core,"Kuching, Sarawak ",0,54,,BIDAYUH
2211309198,_kriStyn_D,•Kristyn•,Home,142,1300,,Hi! I’m Kristyn.. and I’m tired of Red Bull ignoring me when I ask what happened to Orange Edition Red Bull...😐
1480444610,DaCrazyKillaTay,DaCrazyKillaTay,Mars,522,542,,Hey! I’m The Mommy Unicorn 🦄 I’m a Mommy Streamer that is going to make a big difference in the streaming world❤️🤘🏽
1367957882445176835,nagicstic,Nagic,Point C,1961,621,,💙 @princesadashaa 💙
1576641112118378499,BoomRoasted_1,Kyle,,2,109,,I’m at you
1576640682822868993,lewnzzn2,lee?,,2,21,,piss puddle
2859332984,_aleOca,Alejandra Ocaña,"Toronto, Ontario",63,656,,México 🇲🇽
1011551632163606528,caitieism,caitieism,"West Whittier, CA",24,33,,Fuck yo bitch
2690351291,NaitramAndy,andy naitram nauth,,12,121,,Male
1576633572580294656,tasteofthedevil,nyet,hell's kitchen,0,17,,"i post random stuff, beer, meds & dick pictures. 30s / straight unless you hella hot trans"
526919290,BiggJNew,Justin,"The Great Lone Star State, TX!",21,349,,Christian Man⛪|Husband🤵🏿|Father 🥃
1519374301174112258,MTA_Tales,Transit Stories,"New York, NY",7,97,,A New Yorker who wants to share their transit experiences and others experiences. DM me if you would like to share your story.🚇🚌
1486195126674280449,nope_srry,Cracker's Game,,1,17,,We are just crackers trying to game and make it through school:)
1365404769972609032,Sh0rt_Rav3n,*~Raven~*,"England, United Kingdom ",56,309,,18|| Bisexual || Artist || Cloud/Corrin main || Bri’ish🇬🇧 ||
69727733,rodrigopugin,Rodrigo Pugin Giacaman.,chile,204,122,,✌️
1346574639926009856,Azul_DLT,Azu1_DLT🖤,,2,167,,555. 🇲🇽🇵🇷
3100165207,PrinceM_kiks,Michael Gutierrez,,35,286,,Nicki Minaj is the Best✨❤️Idc about y’all Negative Opinions on her 😒. Where the barbs at! 🤪💖
1494078244034957316,sking30107,Sandy King,,44,595,,Creative and have fun doing it!
1576630825885618179,RealBottomEnrgy,Winter Raven 🏳️‍⚧️,Wherever,3,90,,"Winter she/her trans lesbian, here cause my dom told me to get Twitter"
1532944039506501634,theskull84,Roberto Spronello,"Monza, Lombardia",3,30,,You're not hardcore Unless you live hardcore 💀🎸
1247863362249207809,Faisal2430,Faisal Iqbal,"Riyadh, Kingdom of Saudi Arabi",10,96,,Friendship
754885030636232704,williamcline24,trufflebutterhoe.eth,This planet,238,925,,Pokemon Go - Degen - Tech Geek - NFT - CRYPTOS - Truffle Butta - Fortnite - Emulators - Just your everyday degerate mofo wit ha plan. welcome to the crazy!!!!!
1398355431123304450,X2shadow3,x2 Shadow,,241,1678,,Giveaways won: 5🏆
1518686796636467200,CaptainMBB,CaptMBB,,16,155,,Captain MBB
1323409029641764869,MinitoonAhoy,.•°♡•ellie•♡°•.,"Distington, England",5,178,,I'm Ellie I've been a fan of Little Mix since I was around 4 years old. I also joined DSMP fandom in August 2021 thats poggers. Have a pog day!
1576626432662536192,yadby_lafamilia,Marvens Kerby Avrilus,,1,33,,"""Wa Viv nan ekritim..."" Computer network technician for all consultations : marvenskerbyavrilus@gmail.com"
1576626982246195201,nb006655,Nadia,,0,20,,Let's be a good friend 🙂💜💜💜
1576621977300865025,StrawberryPIayz,Strawberry_Playz!,Strawberry Land,0,36,,"Hi, I’m a Roblox YouTuber who’s almost at 1K subs, if you could help, pls do 👍🍓"
1576625862664929283,Shin_Hitoshi_,Shin,,0,39,,He/They Pan/Poly Taken Cosplayer
132952760,Reanea03,Rachel Chandler,"Independence, MO",289,405,,"A love for Antiquing, LEGO, coffee & all things Harry Potter. KAMO SEL. All opinions are my own #KAMO #winMoore"
457084366,1976sherry,❤️SAM❤️,"Ipswich, England",374,886,,JUST LOVING LIFE RIGHT NOW!.....IPSWICH TOWN FC ⚽️💙
1576626869382021120,Kennworxz,Kenneth Bryan Flores,,0,36,,Digital Artist 🖌
1576622642873909251,dirtIsgay,Lillian Markin,,0,96,,aroace agender any pronouns
246626999,moomegk,Megan Kindratsky,,167,230,,Oh Canada | 98/05/05. Vancouver Island B.C ☀️
1352119401739239425,chikachu_second,大黒柱妻in🇺🇲🐻,"California, USA",210,365,,大黒柱の２児のワーママinCA🇺🇸 （夫はコロナで失業→主夫→再就職👍）
1557895168736501763,MariaVi34794220,Alejandra Villalba,Argentina,13,363,,"I'm the only person I should love in this world, lighting up my precious soul. I finally realized, so now I love myself, not so perfectly but in a beautiful way"
1576623497987620865,jsberealwkay,jsberealwkay,,2,50,,i love dilfs❤️❤️
1576623298145914889,jsberealwrea,rea,,4,48,,Nothing about the way that you were treated ever seemed especially alarming 'til now -harry🫶
1520577359665143808,lewisround4,Customer Support,"Chicago, Illinois, USA",0,4,,Hello to all our wonderful customers! This is the Official McDonalds customer support page! If you are here to issue a complaint our team will be here shortly!
1575594915178106880,IceWolfOmegaX,Matt,"Wales, United Kingdom",22,712,,hi!! VidyaGamez🎮motorsport🏎️JRPGfan🇯🇵 #IceWolfShare #GamersUnite ❤️💙💚 (My account @IceWolfPersona is deactivated.)
1141846048790343681,proxy2world,Arthur Chen,,14,365,,"geek, bitcoin holder"
1456510772666843136,brutalistichoe,the bitch who can't stfu,Grave,0,3,,i DO NOT give af.
1523780430595563521,AltafJutt123456,Altaf Jutt,,1,44,,Very funny
86055448,LaLa_izBest,LaLa,Bklyn,56,88,,"I'm the girl who wears loose shirts, watches lame movies, eats food with high calories and enjoy being myself more than anything."
1576616549468848128,prebath_harsha,🇱🇰Harsha Prebath🇺🇸,🇱🇰Ja-Ela Sri Lanka🇱🇰🇱🇰,0,23,,💪මේක වෙනස්ම ගේමක් මචං 💪 ❤️Stock market❤️
767647784,aimereme,飴🍬,,217,657,,フォロー、RTありがとうございます！ 画像は公式Facebook、Twitter、instagram、You Tubeから引用。
1417140558993281028,mayne_levi,Levi Mayne,,0,21,,yeah
753651991415513088,wkaitlin15,Kaitlin Paige Webb,"Pensacola, FL",34,115,,"Life is to short to waste it on people who bring you down, live life to the fullest and be happy."
1576619369152512001,DsmpGayBozo_,I'm gay,Under your bed,0,51,,Nothing to see here ---------------------------------------------------------------------------
1576615262689845248,DikeHalima,Halima Dike,Nigeria,1,108,,God over everything
48972998,SEXY757,KESHA CLAIBORNE,VIRGINIA,21,80,,"Love is when the other person's happiness is more important than your own. - H. Jackson Brown, Jr."
1573634718608035840,holazzer,holazzer,"Beijing, China",0,23,,"Half-ass programmer. Grad student, information system & digital marketing."
343661264,Samsingalwayz,PASTOR SAM SEANESS®,KINGDOM ADVANCEMENT BUSINESS,738,4998,,PASTOR || SURVEYOR || TEACHER || CONFERENCE SPEAKER || AUTHOR || KINGDOM ADVANCEMENT- ADVOCATE♥️
1523826073129168897,l0cal_minxsimp,Y0ur_l0cal_minxsimp,,1,120,,Justaminx fan | TikTok: Y0ur_l0cal_minxsimp
2207371464,nessly24k,nessly.,,32212,980,,BIRDS FLY SOUTH 💋
1243922447218421764,ast6rrr,aaliyah,TX,6,30,,17 | samurai msg eezygang fng yrg amp deo | ⭐️
1567308382360539136,clownsery,Max,Pacific Ocean,0,21,,🦖
1576567055427444736,marmorgan936,Marcus Morgan,"Houston, Texas ",4,263,,"Single dad, simple and easygoing person. Deep shore welding engineer and drilling consultant"
469930884,chrism6_,Chris,"San Francisco, CA",215,154,,"Still empty, fuck it.."
1148478867616817152,JacobMellor8,Jacob Mellor,"Pottsville, PA",2,351,,Hi.
135165835,Codyashi,Cody Hill,"Des Moines, IA",136,1000,,"Husband, Father and avid St. Louis Cardinals fan. I also make awesome web applications"
1576580632523808768,BennyBobJesus,Benny Bob,Oskarström,4,62,,Relax now!
1144807654461714432,mason_ospina,Mason Ospina,Nunya,2,40,,Ilike nintendo games
1576608285553303554,Xmas_2023,2022-2023,,2,28,,Hey I love Christmas!🎄 Please give me a follow! Countdown posts & Christmas posts!
3275211469,mollykittxn,ur fansly gf,black lives still matter,541,472,,19 and queer.mdni 18+
4422396460,preciouskay01,precious,United States,23,73,,"young, wild, & free👑"
941098812625620992,CoachRmrzHealth,Coach Ramirez,"Atascocita, TX",114,269,,Girls Coach and Health at HMS. Go Wildcats!
1524666311137062912,Aviiiiiiiiiii3i,Aviii,Hu u gago?,8,140,,Si A po gusto ko sasabog na ako pls
933601520158773250,Sadmansoumik95,❝ꌗꀎ꒒ꂦꃴ❞,"Dhaka, Bangladesh",116,1532,,STUDENT || MUSLIM || MALE || PATRIOT || BANGLADESHI ||
1523724878054313984,bhvvin,Bhavin Jain,,0,75,,chase your curiosity
1539342971400765441,BnkBenson,Benson BNK SIGNS,"Nakuru, Kenya",3,133,,Artist
1576607140009062401,CamellaLadyboy,,,1,166,,@CamellaLadyboy's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
1499012613786718219,Xorgii,Xorgi,,0,83,,Dog is cute
1440686160972419083,Miathv_14,Miathv,,0,15,,난 니가 싫어 젠장 네 엄마
1576607251309133825,Vickie466948985,Vickie,"Johannesburg, South Africa",2,126,,Black 🖤is poetic🕳 Live your best life. 🖤She is an angel with a devilish kiss🖤 Black is king Scorpio ♏ 🦂🖤 🖤🖤 Embrace your darkness ✨🕳
