ID,screen_name,name,location,follower_count,friends_count,like_count,description
59525736,JCamacho53,Jerry Camacho,"Los Angeles, CA",86,227,,"Don't tell God how big your problems are, tell your problems how big God is!! Father, husband, brother child of God"
1308830916685393920,Jacksx30,Jacks🇺🇦,"Los Angeles, CA",281,1158,,believer in christ🙏🏻🛐✝🕊 old acc was @ohjayy200x 🏳️‍🌈 🇺🇦🦂🤌 🥸😂 LMFAO
978207597160366080,Warriortilend,Sheilanne☮️,United States,2025,1245,,My opinions are mine and mine only. @costplusdrugs low cost prescriptions @nokidhungry
779851093412945920,hiTrevorHere,trevor,Salt Lake City,142,690,,tweets about stuff I make and stuff I read and other stuff.
1298239393174401026,Meowmeow5624,D-Nugget,,7,60,,meow Seattle Seahawks fan
17096691,MortyJ,Morty Johnson,"Pittsburgh, PA",130,590,,"Always up for a trip to Las Vegas or Florida... Decisions decisions, What a tough choice."
79539636,PvTails,Tails95,"Downey, CA",93,340,,Probably messing around with Electronics Profile Picture by https://t.co/X6GPLP7Pny
1494152599842533381,werewolfdonut,Iain David Thorpe,,39,2557,,Tactful assholery since 1957 - antifascist - trans -
914670763495628806,baystateba,Bay State Buccaneers Baseball,"Weymouth, MA",262,391,,⚾️Baseball⚾️Training & Development for ages 13/14/15/16/18u. Largest indoor cages on the south shore of Massachusetts. Bay State Buccaneers
2579373381,iamtalivan,Iván Mc🔰,,97,376,,To infinity and beyond 🚀
948766525292466176,BrittanyMPotter,Brittany Potter,,406,4673,,#SUPERFAMILY $BrittanyPotter32 #TeamStacks #VillainSquad #AsYouWish #pulteplan #TeamDecka #TeamPhilanthropy #SJsCash2021
1195533799,hanna_arminda,Arminda Hanna,Rancho Santa Margarita ,277,1125,,Rest In Peace Jason! Mommy Loves & Misses U So Much 💚 #AngelMom #GotHisWings #GoHalos #BaseballGrandma @angels are my team! 🇵🇭
1075446723789520896,seichotsu,Hidemi,,23,577,,"Analyst, Researcher"
1437890973829419016,SunshineCatluna,Lizette,United States,7,344,,Hello Hola 🇺🇸🇲🇽 She/Her
10090072,chickybaby007,Veronica Castro,"Orange County, California",1154,1862,,Wine & Saké buyer @mrhitime https://t.co/ExvYDSK7Pd Opinions all mine.
34456337,wenchlilly,Lilly Dakic,"Rocklin, Ca.",86,651,,"I'm a patriot, I believe America First!!!! and I'm glad I got the hell out of California 👍 I love Music, wine tasting, foodie, genuine people."
1561203338900697089,RubenDBaus,tekneek,,57,381,,Entrepreneur - Protagonist - Visionary 💸 *-. I Dream With My Eyes Open .-* 💸 🥇HEALTH🥈 🥇WEALTH🥈 🥇LOVE🥈 💙💖💜 God - UrSelf - Spirit 💙💖💜
917270361804177408,zGRt4NoJH7aGUgW,范西西,,82,747,,learn more
1575657607376695297,bjsmashedburger,Bjsmashedburger,"Jundiaí, Brasil",8,72,,BJ SMASHED BURGER Terça a Domingo 18:30 às 22:30 Rua Hilda Del Nero Bisquolo 102 Jd Florida The One Office Tower. Jundiaí SP. instagram @bjsmashedburger
775553609031307266,ooshdesign,#SheWon,,17083,15202,,#StillWithHer 👉🏼 Living life one day at a time .🙏🏽#ArrestTrump NO DM 🛑I will block you
400909743,arznasun1,Restless Renee 💙💛,"Misery, USA",570,1354,,"Former Army Reservist, Mom to 3 #GenZ, #Celiac,#Disnerd, Coffee Carouser, Sometimes Funny, Sometimes Swear-y, Devastated Blue Dot #vaccinated"
