,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id,public_metrics,text,likecount
0,0,18956020,2022-10-20 05:35:47+00:00,[1582968803121827841],1582968803121827841,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Galaxian_11 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
1,1,18956020,2022-10-20 05:35:42+00:00,[1582968780954533889],1582968780954533889,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@RamirezRobertoE AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
2,2,18956020,2022-10-20 05:32:08+00:00,[1582967882799284224],1582967882799284224,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@AUnitedFan4 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
3,3,18956020,2022-10-20 05:29:13+00:00,[1582967150817730560],1582967150817730560,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Lin_Keo1 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
4,4,18956020,2022-10-20 05:18:24+00:00,[1582964427800051712],1582964427800051712,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@nfinte1 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",1
5,5,18956020,2022-10-20 05:17:15+00:00,[1582964140989353984],1582964140989353984,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@THEREELTJP AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",1
6,6,18956020,2022-10-20 05:16:38+00:00,[1582963985309388800],1582963985309388800,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@adjcmoor AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
7,7,18956020,2022-10-20 05:15:36+00:00,[1582963724968607745],1582963724968607745,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@deltaman AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
8,8,18956020,2022-10-20 05:12:46+00:00,[1582963010716717056],1582963010716717056,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Josephderas5 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
9,9,18956020,2022-10-20 05:11:03+00:00,[1582962578518511616],1582962578518511616,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@van_stroud AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
10,10,18956020,2022-10-20 05:07:52+00:00,[1582961779331563520],1582961779331563520,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Djloriee AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
11,11,18956020,2022-10-20 05:06:32+00:00,[1582961442063384577],1582961442063384577,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@WorthamShow AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
12,12,18956020,2022-10-20 05:05:39+00:00,[1582961218729705472],1582961218729705472,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@MThreat22 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
13,13,18956020,2022-10-20 05:04:50+00:00,[1582961016551284736],1582961016551284736,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Juan_the_third AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
14,14,18956020,2022-10-20 05:01:28+00:00,[1582960169092517888],1582960169092517888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@mike_santine AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
15,15,18956020,2022-10-20 05:00:38+00:00,[1582959958475231233],1582959958475231233,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@yeetsauce44 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
16,16,18956020,2022-10-20 05:00:08+00:00,[1582959831790469120],1582959831790469120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@DrewItPro2 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
17,17,18956020,2022-10-20 04:59:56+00:00,[1582959780054065152],1582959780054065152,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@jaebukkets1 AHHHHHH! That's scream for ""we'll remind you"". Reply #unsubscribe to opt-out.",0
