,Unnamed: 0,id,public_metrics,text,likecount,author_id,created_at,edit_history_tweet_ids
0,0,1582232897888481281,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@TownCtrAtBoca when is @Popeyes and @shakeshack going to be open? Any more food choices coming to the mall?,0,,,
1,1,1582232252217724929,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@shakeshack Hey. Quick question..when is the Boca Raton Town Center Mall store going to be open?,0,,,
2,2,1582212407660724225,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Like 2/10 @shakeshack experience. I was handed a soupy shake off a tray of pre made shakes then I get home to find that it looks like I was given all the left over fries.,0,,,
3,3,1582196155969961984,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@CapitalOne @shakeshack @NYCWFF Remember when @shakeshack when all anti cop?   Haven’t been back since…..,0,,,
4,4,1582189612612521985,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Does anyone know why @shakeshack won’t deliver via the app or seamless in NYC anymore??,0,,,
5,5,1582184926002446336,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hey @shakeshack we have some big ways to get you involved with Cincinnati pickleball. Hit me up.,0,,,
6,6,1582181168559947776,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",me and a cockroach making eye contact just as i pull out my credit card after placing an order at @shakeshack at @IntlAirportCLT #ImNotHungryAnymore https://t.co/DGXmqmqLCZ,0,,,
7,7,1582169328283045888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@selenavidya @shakeshack and it was delicious

only wish I had a promo code or something  😉",1,,,
8,8,1582163805995380736,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@CalebJHull @shakeshack is better than both,2,,,
9,9,1582147685703819264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@shakeshack I'm pretty sure you like everybody else in 2022 has the ability to copy and paste but this is the problem with companies like you you make people jump through hoops of fire so that they don't feel encouraged to complain about something. It's not rocket science. it's ketchup. 🤦🏾‍♂️,0,,,
10,10,1582144684545056769,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@mlftwtx @shakeshack @sweetgreen When it's built.,0,,,
11,11,1582135104754704384,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@IAmReviewbrah @shakeshack @YouTubeCreators @YouTube any plans to review the burger king ghost pepper whopper? its pretty good in my opinion. nice to see fast food places make something actually spicy,2,,,
12,12,1582132893912293376,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@shakeshack nuggets are better than @ChickfilA nuggets! Let’s argue 👀🐔,0,,,
13,13,1582121006877282304,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@shakeshack I just sent an email. Thanks for replying!,0,,,
14,14,1582114650098843649,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Business Buzz: Shake Shack eyeing former #Wellesley Square GAP space; Laurel Grove focuses on Wellesley ; Nail salon moves a bit https://t.co/NZ2qXlw3ob @shakeshack @ShopWellesley https://t.co/x23ez6pHC0,1,,,
15,15,1582114481596903424,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@CapitalOne @shakeshack @NYCWFF So I made a payment in full last week on my credit card and I get purchase interest charge this week. The customer service reps sitting in Phillipines will take a good 15 minutes to understand the issue. I asked them if they can remove the charges but they can’t. Horrible exp,0,,,
16,16,1582114128126087169,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@CapitalOne @shakeshack @NYCWFF Cap One declined my purchase at REI - their card gives me 10% back on purchases - this was a $600 purchase. I have no balance on the card and use it regularly and pay it off. I had to use another card, and now they are making I send a copy of my DL to get it ""cleared up."" WTF?!?",0,,,
