,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id,public_metrics,text,likecount
0,0,212255045,2022-10-19 16:16:44+00:00,[1582767716666322947],1582767716666322947,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@InternalJane Let's see those cheese pulls! 🧀👀,1
1,1,212255045,2022-10-19 16:02:51+00:00,[1582764220181250049],1582764220181250049,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@allett_martin We hear you and appreciate you sharing that feedback!,1
2,2,212255045,2022-10-19 15:42:43+00:00,[1582759156406456321],1582759156406456321,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@allett_martin Nope, this one's just for show!",1
3,3,212255045,2022-10-19 15:25:49+00:00,[1582754900106059776],1582754900106059776,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 16, 'quote_count': 0}","🔊 Sound on for the most on point Apple Cider Donut Shake review.

Review by @keith_lee125 https://t.co/V9yFquRMlP",16
4,4,212255045,2022-10-19 15:25:15+00:00,[1582754760783908864],1582754760783908864,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",@BoyInHD anything for you 😊,8
5,5,212255045,2022-10-19 14:32:08+00:00,[1582741390513029120],1582741390513029120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@cnischan We pride ourselves on the quality of our food and this doesn’t sound up to our standards! Could you drop us a line at share@shakeshack.com so we can get in touch?,0
6,6,212255045,2022-10-19 14:25:46+00:00,[1582739790553878534],1582739790553878534,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@ecaojt Oh no! Could you email app@shakeshack.com so we can look into this for ya?,0
7,7,212255045,2022-10-18 20:32:43+00:00,[1582469749023289345],1582469749023289345,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@bocaboy999 No official opening date for our Town Center Shack yet, but stay tuned!",0
8,8,212255045,2022-10-18 20:32:41+00:00,[1582469741590953984],1582469741590953984,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@damwop2 We’re bummed to hear your feedback! Could you email us at share@shakeshack.com so our team can get in touch?,0
9,9,212255045,2022-10-18 20:32:37+00:00,[1582469724666925057],1582469724666925057,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@nichola62351576 Hi Nicholas, could you confirm your email address for us?",0
10,10,212255045,2022-10-18 15:07:07+00:00,[1582387808052080642],1582387808052080642,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@chrisg1821 We pride ourselves on the quality of our food and this doesn’t sound up to our standards! Could you drop us a line at share@shakeshack.com so we can get in touch?,0
11,11,212255045,2022-10-17 23:10:42+00:00,[1582147118378078208],1582147118378078208,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@noahweid We’d be happy to look into this for you! Could you shoot us an email at app@shakeshack.com so we can follow up?,0
12,12,212255045,2022-10-17 23:09:57+00:00,[1582146929177202688],1582146929177202688,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@Rosiana_Oliveir Sounds like we really dropped the ball here! Drop us a line at share@shakeshack.com and we'd love to follow up with you.,1
13,13,212255045,2022-10-17 23:09:40+00:00,[1582146858365112320],1582146858365112320,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@LitoLarj Definitely not what we like to hear! Could you reach out to share@shakeshack.com so we can follow up?,0
14,14,212255045,2022-10-17 23:09:38+00:00,[1582146847736762368],1582146847736762368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@DonkeyTeeth_LLC Hang tight! Our Shack is in the works. Keep an eye out for opening deets sometime in! 👀,0
15,15,212255045,2022-10-17 16:00:46+00:00,[1582038921491668992],1582038921491668992,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}","Some Shack greens to start the week. 

IG Cred @shakeshackhongkong https://t.co/elSfJ5eyy2",12
16,16,212255045,2022-10-16 22:34:23+00:00,[1581775591027617792],1581775591027617792,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@1ChrisW We’d love to chat further about your visit! Could you email us at share@shakeshack.com so we can follow up?,0
17,17,212255045,2022-10-16 22:29:47+00:00,[1581774431935811584],1581774431935811584,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@ctygrl99 We’re bummed to hear your feedback! Could you email us at share@shakeshack.com so our team can get in touch?,0
18,18,212255045,2022-10-16 22:29:17+00:00,[1581774306631372800],1581774306631372800,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@mymytheweird00 This doesn't sound up to our standards! Could you reach out to share@shakeshack.com? We’d love to follow up.,0
19,19,212255045,2022-10-16 22:29:15+00:00,[1581774299022565376],1581774299022565376,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@lfishe3 We always aim to bring you the best ingredients at prices that won’t break the bank! We’ll share your feedback with our team. 👍 Feel free to shoot us a note at share@shakeshack.com to chat further!,0
20,20,212255045,2022-10-16 22:29:12+00:00,[1581774284837769216],1581774284837769216,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Yonsink Could you email us at share@shakeshack.com? Our team would love to look into this.,0
21,21,212255045,2022-10-16 15:00:18+00:00,[1581661317097656321],1581661317097656321,"{'retweet_count': 2, 'reply_count': 5, 'like_count': 15, 'quote_count': 0}",Which game are you ordering Shack for today?,15
22,22,212255045,2022-10-16 14:05:41+00:00,[1581647573299138561],1581647573299138561,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@salibaH66 We’re very concerned to hear this! Could you email share@shakeshack.com so we can follow up with you?,0
