,Unnamed: 0,id,public_metrics,text,likecount,author_id,created_at,edit_history_tweet_ids
0,0,1582235419915476996,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein I sent email to headquarters in OK as was not sure who to contact.,0,,,
1,1,1582219830689951744,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","I'm at @SONICDriveIn in Mesa, AZ https://t.co/MrMRoZjV4I",0,,,
2,2,1582204583870242816,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein i always come back for more though https://t.co/CKeY1cKxhg,0,,,
3,3,1582203028022886400,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@cozyncrafty @sonicdrivein so precious 🤍,1,,,
4,4,1582202412848513024,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 3, 'quote_count': 0}",When we go to @sonicdrivein my dog watches people in other cars eat their ice cream until his wag cup comes https://t.co/4CM2aFVBf6,3,,,
5,5,1582192284392599552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Hey, @sonicdrivein, how do you know my wife like that? https://t.co/f0Xb6pH3sT",0,,,
6,6,1582191961968037888,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",Hooked up the doggos with @sonicdrivein pup cups. The only thing that can get them to stop fighting. 😆🐶🍦 https://t.co/lykO7wVF8i https://t.co/UGfao7JcsG,4,,,
7,7,1582191169349439488,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hooked up the doggos with @sonicdrivein pup cups. The only thing that can get them to stop fighting. 😆🐶🍦 https://t.co/VDMRcVUjcB https://t.co/ulMEQNosnF,0,,,
8,8,1582186237971992576,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein cutest hot dog I've ever seen 😂 https://t.co/Flbk1zV5eJ,0,,,
9,9,1582185693983690752,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","I can’t imagine this is sanitary and meets any sort of health code, or OSHA standards. These kids are slipping and sliding all over at @sonicdrivein tonight. Literal standing water in some spots. https://t.co/nTpJ4K7jXn",0,,,
10,10,1582184847505702913,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@AyooNitaaa @sonicdrivein Yuck!!🤮  your poor mom,0,,,
11,11,1582180629235765248,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}","Not my mom biting into her @sonicdrivein  onion rings, only to find a hair 😒😂😩",1,,,
12,12,1582180367527600132,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","I'm at @SonicDriveIn in Cleveland, TN https://t.co/sgsRGx7kUF",0,,,
13,13,1582166932404326400,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein ASAP!!!,0,,,
14,14,1582165959749795841,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",bring back the grilled chicken sandwich @sonicdrivein,0,,,
15,15,1582162501495504896,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Why do I have to pay more for this because my kid doesn’t like pickles and mustard on his burger? https://t.co/6216w0Eq3g,0,,,
16,16,1582159785881128960,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","I can’t wait until B brings me my strawberry slush with extra strawberries from @sonicdrivein! 

I’m going to be in the bed, drinking my slush, and rubbing these feet together! 🙃 https://t.co/qyoCxarA3K",1,,,
17,17,1582157952630525957,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein is this how the sausage supposed to look in your breakfast burritos cause idk😩 https://t.co/4EUPoErJrO,0,,,
18,18,1582145577650831360,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Some of our favorites from our 2022 Summer styled shoot!! We had a blast and even pulled up to @sonicdrivein!

Venue: Rose Briar Place 
Photography: Rosie Cheeks Photography 
Florist: Forever Borrowed
Cake: Mischelle Handy
#rosebriarplace #bridesofoklahoma #2022wedding #discoball https://t.co/gMloxwEUrX",0,,,
19,19,1582138156975292417,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein how much did the latest remodel cost? It is terrible.,0,,,
20,20,1582136249653297152,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",The Bacon Cheeseburger Toaster from @sonicdrivein is an ALL TIME GOAT!!,0,,,
21,21,1582130647123927042,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@sonicdrivein this must be a trick because it’s definitely not a treat… 1.5 inch bone in my chicken wrap?? 🤮 Thank God it was in the bite I took and not my toddler 😡 https://t.co/k8Q98wAbB3,0,,,
22,22,1582129998861045760,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hey @sonicdrivein did y'all change the thickness of your cups? The one sitting on my desk just burst and got everywhere.,0,,,
23,23,1582128878843142144,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@sonicdrivein I went to sonic at Martin (their app is off so I couldn't use the app to order sweet tea) so I went to sonic at Union City, Tn and found this in my drink. This is not cool....I had to check my small ice cream to sure ain't no metal in it. https://t.co/M7xKY2Rwch",0,,,
24,24,1582121433979052034,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Craving some @sonicdrivein right now, I’m having heart palpitations… 😭",0,,,
25,25,1582116344602185728,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Congrats Adam @sonicdrivein in Castroville. U got a top rating on https://t.co/ehiyu0YB82 #sonic,0,,,
26,26,1582116341552533504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Adam in Castroville got a top rating on https://t.co/ehiyu0GrTU Follow &amp; we'll DM the info. #howdididotoday,0,,,
27,27,1582112517534273537,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Idk what the hell is wrong with my @sonicdrivein ice cream machine but it’s literally TEXTURED like there’s weird textured stuff in the ice cream it tastes and feels so bad I want my money back 😭🤢,0,,,
28,28,1582112481060605953,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Thank you to all of the donors, including @Verizon and @sonicdrivein, for supporting my project on @DonorsChoose. Thanks to your generosity, we now have a full sized carpet for our first grade class! @TallwoodElem https://t.co/dr7U9ioIwb",2,,,
29,29,1582103399050358784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Not really a frustration. I’ve always had good service at this location.,0,,,
30,30,1582102425992777729,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@sonicdrivein Tallahassee, FL Capital Circle location needs some help. Poor call box been falling apart for months and held together with duct tape. Lol https://t.co/AedFoyrdTK",0,,,
31,31,1582101921979957248,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Fuck sonic and their roach tater tots and then they try to give me a free tater tot(with purchase) for it!?!? Y’all suck @sonicdrivein I do not want more roachie taters thank u tho,1,,,
32,32,1582098277930962944,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@CadleSam @Whataburger @sonicdrivein 🤣🔥,1,,,
33,33,1582096658229100544,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Food. (at @SONICDriveIn in Jacksonville, IL w/ @pooch754) https://t.co/TyNtyE8qGR",0,,,
34,34,1582095588102787072,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@Freeman_Mary2 @Whataburger @sonicdrivein Thanks. Now I’ve got to try a sonics burger to understand.,1,,,
35,35,1582094467141550080,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@SHIB_BONE_QUEEN @SpidersMethod @SHIB_BONE_QUEEN _bone_queen

I have to laugh that you just got a @Starbucks   We live in a small town with @McDonalds @DairyQueen and @sonicdrivein  period. If you want @Starbucks you have to drive to another town!  You must be small town too 😊",1,,,
36,36,1582093712695316480,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@Whataburger reminds me of @sonicdrivein burgers. Which, in midwesterner, means purty damn good. https://t.co/LjUWvZWHkX",1,,,
37,37,1582085316533686272,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Dropped off a few of our 1st six weeks @sonicdrivein gift cards to our awesome drawing winners!!! Enjoy a treat on us! #powerupaisd https://t.co/lofOh84PQP,0,,,
38,38,1582082783870357506,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Hi thanks for the reply. The manager flat out refused to fill the cup up so I don't think giving her feedback will change anything. Thank you for the suggestion.,0,,,
39,39,1582079477072293888,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",Drove by and had to stop again. I don’t make the rules. @sonicdrivein https://t.co/j1p6wzTTnt,7,,,
