,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id,public_metrics,text,likecount
0,0,40349928,2022-10-20 01:38:18+00:00,[1582909037137768449],1582909037137768449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@CrazyZane1 That's frustrating, we're sorry this happened. Send us a DM? https://t.co/nIi0t6hUyP",0
1,1,40349928,2022-10-20 01:00:07+00:00,[1582899430197719042],1582899430197719042,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@JMoneyyyy_ We do encourage you to contact the drive-in directly and ask to speak with the manager on duty, Jessica. We’re also happy to put you in contact with our customer care team if you’ll send us a DM. https://t.co/nIi0t6hUyP",0
2,2,40349928,2022-10-20 00:35:34+00:00,[1582893252159868929],1582893252159868929,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@ShaylaSams You're always welcome to contact the drive-in directly and share your feedback, Shayla. We’re also happy to connect you with our customer care team if you’ll send us a DM. https://t.co/nIi0t6hUyP",0
3,3,40349928,2022-10-20 00:13:44+00:00,[1582887755733876736],1582887755733876736,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@leahgolden5 We hate disappointing you, Leah! Have you already spoken with the drive-in about this? We’re also happy to put you in contact with our customer care team if you’ll send us a DM. https://t.co/nIi0t6yXAP",0
4,4,40349928,2022-10-19 22:39:36+00:00,[1582864065289781248],1582864065289781248,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@KayleighStahl Hi Kayleigh! The date on the side of the sauce cup is a manufacture date, not an expiration date. We hope this helps!",0
5,5,40349928,2022-10-19 21:27:40+00:00,[1582845963433291777],1582845963433291777,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@PinUpPrncs We take food safety issues seriously. Please send us a DM so we can connect you with our customer care team. https://t.co/nIi0t6hUyP,0
6,6,40349928,2022-10-19 20:02:13+00:00,[1582824461471916032],1582824461471916032,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@taylorhasissues We just get each other🥰,2
7,7,40349928,2022-10-19 18:35:00+00:00,[1582802512691593216],1582802512691593216,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Zamboni411 Oh no! Sorry we kept you waiting, Gage. We’d like to connect you with someone from our customer care team. Please DM us! https://t.co/nIi0t6yXAP",0
8,8,40349928,2022-10-19 17:14:09+00:00,[1582782166635024386],1582782166635024386,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@higekieiyu We do encourage you to contact the drive-in directly and ask to speak with the manager on duty. We’re also happy to put you in contact with our customer care team if you’ll send us a DM. https://t.co/nIi0t6hUyP,0
9,9,40349928,2022-10-19 17:00:00+00:00,[1582778604441591811],1582778604441591811,"{'retweet_count': 5, 'reply_count': 8, 'like_count': 46, 'quote_count': 0}",Raise your hand if you order in the app to avoid having to memorize your order before,46
10,10,40349928,2022-10-19 14:42:32+00:00,[1582744010090651648],1582744010090651648,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sweetsparklypot This isn't what we like to hear! Send us a DM so we can get you connected with our customer care team? https://t.co/nIi0t6yXAP,0
11,11,40349928,2022-10-18 20:37:13+00:00,[1582470881661575177],1582470881661575177,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@MsChocolateKis We take food safety issues seriously. Please send us a DM so we can connect you with our customer care team. https://t.co/nIi0t6hmJh,0
12,12,40349928,2022-10-18 01:30:25+00:00,[1582182277412696065],1582182277412696065,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@AyooNitaaa We’re so sorry to hear this! If you have any issues getting in contact with the store directly or speaking with a manager on duty, feel free to send us a DM and we’ll get you connected with our customer care team. https://t.co/nIi0t6hUyP",0
