,Unnamed: 0,id,public_metrics,text,likecount,lang,author_id,created_at,edit_history_tweet_ids
0,0,1582232794637381632,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@MartinSLewis @ChrisMasonBBC @Wendys maybe you have a job for liz truss? She grows pies and can deliver,0,,,,
1,1,1582231562652815361,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@metadavideth @Wendys For sure 💯  tasty too! 😋 🍔 good pattys,0,,,,
2,2,1582230066917830657,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@buynowcryl8ter Thought so from the patty…@Wendys makes a good looking burger!,1,,,,
3,3,1582229999288844288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@wendys roast me,0,,,,
4,4,1582228482448248832,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys 😂 you know them shits nasty she ain’t eat one that whole box full 😂 😂 😂,0,,,,
5,5,1582228117305044995,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@BravoTV @Wendys People really pay 2.79 for 2 slices of bread dipped in cinnamon and egg . You can buy a loaf of bread for less then 2.79 . How many French toast sticks can you make with a loaf of bread? LOL! 🤣😁 60 to 72 French Toast Sticks! standard loaf there are between 20 and 24 slices.,1,,,,
6,6,1582226755389034496,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@RickandMorty @ccfreestyle @Wendys D,0,,,,
7,7,1582226712963649536,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","@InfiDale3476 Sir, this is a @Wendys",2,,,,
8,8,1582226201153634306,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@buffpete @RGIII @Wendys no not at all,0,,,,
9,9,1582224556147679234,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys roast meee,0,,,,
10,10,1582223484054183937,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys @GlitchxCity fuck i meant nurse joy,0,,,,
11,11,1582223384360144897,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@IMCARBRRR @Wendys,0,,,,
12,12,1582223240126078977,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@Wendys @GlitchxCity nutse joy?,0,,,,
13,13,1582223126280040448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys Wow(e)! Even Bet(d)ter than mama!,0,,,,
14,14,1582222910139211777,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys @Twitch let me out of my basement let me out of my basement let me out of my basement let me out of my basement let me out of my basement let me out of my basement let me out of my let me out of my basement,0,,,,
15,15,1582221945269260288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@skybanno @Wendys It’s fast food 🙄,0,,,,
16,16,1582221462106411011,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@TheCodedGalaxy @Wendys hey,0,,,,
17,17,1582220774403846144,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys is there some reason why you now use gross liquid cheese on your food ?,0,,,,
18,18,1582220498473078784,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@texitoast I would’ve been pissed @Wendys better not do us like that,0,,,,
19,19,1582219449033031680,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Hey @Wendys why isn't the app working? Hasn't worked all day.,0,,,,
20,20,1582219042101727233,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys homemade is better,0,,,,
21,21,1582218386112512001,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@Jason42827558 @RGIII @Wendys Is it spicy?,1,,,,
22,22,1582218044427751424,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@RGIII I can’t believe they brought the pretzel pub back @Wendys,0,,,,
23,23,1582217814236356608,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys Please bring back the pita (flat bread) chicken Caesar!,0,,,,
24,24,1582217669876797441,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys DQ is better,0,,,,
25,25,1582216739214872576,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Why the new @Wendys on Myrtle 1138y closed before midnight,0,,,,
26,26,1582216536559091712,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",@ShillinChi @Wendys https://t.co/DCeIbR5nC9,0,,,,
27,27,1582216449380081665,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@SleeptimusPRIME @graymatter1982 @Wendys 🤜🤛,1,,,,
28,28,1582216225907539968,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@oldad1776 @graymatter1982 @Wendys That would be cool. https://t.co/Bj5teEMLgs,1,,,,
29,29,1582216171843383296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@JysqYT @Dabbycat_ @ManePear @desicadee @Plumaniaa @hunterleeMC @EpaxiaI @Taejon_ @whohasunchance @baablu_lol @jojodoss_yt @POTUS @BurgerKing @olivegarden @SkyBoi_YT @Wendys @McDonalds @MrBeast @tommyinnit @kanyewest I think I speak for all rational human beings: Olive Garden is trash. #OliveGarbage,0,,,,
30,30,1582216071624335361,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@graymatter1982 @oldad1776 @Wendys https://t.co/GAGzw9av99,1,,,,
31,31,1582215926908211201,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@SleeptimusPRIME @graymatter1982 @Wendys FINE, I'll look for one but @Wendys needs to bring back breadsticks",1,,,,
32,32,1582215661602082816,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Thanks @Wendys  for ruining my dinner,0,,,,
33,33,1582215341622468609,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@pumpkingdk @Wendys look at this!,0,,,,
34,34,1582215097996673024,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@AyaneHylo @Wendys Ma'am, this is a Wendy's",1,,,,
35,35,1582215057437360128,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",@SleeptimusPRIME @oldad1776 @Wendys https://t.co/qurSZKIP7v,2,,,,
36,36,1582214811122745346,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 13, 'quote_count': 0}",The @Wendys late night crew must’ve known I was having a day. Ordered a small. This is giant and not even the right cup. There’s a heroes without capes line in here but I’ll just say… I love you drive thru crew 🥺 https://t.co/6mC0FuJJyf,13,,,,
37,37,1582214703157497857,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@oldad1776 @graymatter1982 @Wendys https://t.co/EiOV9jZXkr,1,,,,
38,38,1582214386067783680,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@SleeptimusPRIME @graymatter1982 @Wendys https://t.co/0k41Hom4ef,1,,,,
39,39,1582214356594749440,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys https://t.co/y1Yo2r23xW Coi Leray OUT NOW ON ALL PLATFORMS PLEASE LIKE N SUB U WONT REGRET,0,,,,
40,40,1582214134233694208,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys your not even that good,0,,,,
41,41,1582214109449576449,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys the W in wendy’s stands for how they always take Ws,0,,,,
42,42,1582213915856945152,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",@oldad1776 @graymatter1982 @Wendys Kind of but not garbage.,2,,,,
43,43,1582213912153292801,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys @ReggieBush common wendy’s W,0,,,,
44,44,1582213329623257088,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@SleeptimusPRIME @graymatter1982 @Wendys Is it like a Pizza Hut?,1,,,,
45,45,1582213139524829184,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys There are at least 50 sticks and a single syrup packet. 😰,0,,,,
46,46,1582213007870164993,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",I'm at @Wendys drive thru but I just paid a guy with a @tacobell jacket on.  I wonder if I'm getting a crispy chicken or a Nachos Bell Grande🤣,0,,,,
47,47,1582212797626130434,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@oldad1776 @graymatter1982 @Wendys I’m not mad. Just annoyed. I can’t believe you never heard of Rocky Rococo’s. https://t.co/CkCRCEQ9BK,1,,,,
48,48,1582212465567629312,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@SleeptimusPRIME @graymatter1982 @Wendys PS I could never get mad at you bb, don't tell the other Bois.",1,,,,
49,49,1582212349578031104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys to my all anti social club around LA wendys bring the Garlic burger 🤢gain!,0,,,,
50,50,1582212259618918401,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Riice_Brown @ceoofgothicc @Wendys,0,,,,
51,51,1582212052890030081,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@misterB1003 @graymatter1982 @SleeptimusPRIME @Wendys Yes.,2,,,,
52,52,1582211963203235840,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@SleeptimusPRIME @graymatter1982 @Wendys https://t.co/9qC4paKkOq,1,,,,
53,53,1582211840775684096,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@tripletmom97 @BravoTV @Wendys I'm calling DCFS,0,,,,
54,54,1582211810458972162,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@graymatter1982 @oldad1776 @Wendys It’s good. Definitely not great.,1,,,,
55,55,1582211738782420992,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@misterB1003 @graymatter1982 @oldad1776 @Wendys ❤️❤️❤️,2,,,,
56,56,1582211712190541827,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",@oldad1776 @graymatter1982 @Wendys https://t.co/6D4d22s3lc,1,,,,
57,57,1582211568963461120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@oldad1776 @Wendys Boooooooooi… My brother in Christ it’s a pizza chain. https://t.co/Ed0cbJ75P3,0,,,,
58,58,1582211522415054848,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@BravoTV @Wendys ""I'm your biggest fan"" - Lizzo XOXO💋",0,,,,
59,59,1582211369230688257,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@graymatter1982 @SleeptimusPRIME @Wendys DID TBEY SELL IT AT A WENDYS THO FOR 50 CENTS?,1,,,,
60,60,1582211368446758918,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",@graymatter1982 @oldad1776 @SleeptimusPRIME @Wendys Into it. Pizza is bae,2,,,,
61,61,1582211310795620352,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Welp that's my first and last time ordering @Wendys with @DoorDash,0,,,,
62,62,1582210937930465280,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 3, 'quote_count': 0}","@oldad1776 @SleeptimusPRIME @Wendys A pizza joint. Thick bread-like crust. Just the right zip to the sauce. Great meat to cheese ratio. You know, its ok",3,,,,
63,63,1582210552142524416,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 2, 'quote_count': 0}",@SleeptimusPRIME @Wendys Wtf is a rocky rococo's?,2,,,,
64,64,1582210440242745344,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Thanks @Wendys for sending me a cold sandwich with a hard bun,0,,,,
65,65,1582210341185810432,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@OliveGardenHate @Dabbycat_ @ManePear @desicadee @Plumaniaa @hunterleeMC @EpaxiaI @Taejon_ @whohasunchance @baablu_lol @jojodoss_yt @POTUS @BurgerKing @olivegarden @SkyBoi_YT does this man really speak for the italians? @Wendys @McDonalds @BurgerKing @MrBeast @POTUS @tommyinnit @kanyewest lmk,1,,,,
66,66,1582210117449105408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@drsuffy It's a @Wendys hat innit?,1,,,,
67,67,1582209779086213121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys @ReggieBush After what he did to USC this is disgraceful and just wrong to feature him in your commercials. Won’t be using my money on your establishment.,0,,,,
68,68,1582208965668409344,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@oldad1776 @Wendys No need to play. I worked at a Rocky rococo’s for a bit. Taste wise my favorite breadsticks.,1,,,,
69,69,1582208724772392961,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@SleeptimusPRIME @Wendys Omfg I'm praying for you rn, that you should get to experience the $0.50 goodness.",1,,,,
70,70,1582207916450648064,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Wendys y’all be on some weirdo shit not having chili at your locations, get that shit together ain’t no shortage of those fake ass non frozen Hamburger patties",0,,,,
71,71,1582207628087697408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys Those SUCK!!!!!,0,,,,
72,72,1582207116202639360,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys I just want some French toast but I’m too sick to even think abt eating,0,,,,
73,73,1582207059344302080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys Her after tge camera is gone https://t.co/Tsz1ho0qSV,0,,,,
74,74,1582206576781164545,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys you expect people to spend good money on this??? https://t.co/rpn4dKD4J2,0,,,,
75,75,1582205913058144256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@CalorieToken Fave dish: 자장면
@McDonalds 
@Wendys 
@SUBWAY 

@superlemonaze @MazharulRj @SUPERDOGI2 https://t.co/Tgvbw8Z8aY",0,,,,
76,76,1582205121538453507,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys bring back the vanilla frosty I’m struggling,0,,,,
77,77,1582204671313125376,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","@Wendys  damn , why my fries taste like y’all used some old ass oil ? 🙄",0,,,,
78,78,1582204151513067520,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",fuck u @Wendys for giving me food poisoning,0,,,,
79,79,1582204037222408192,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@stimpymau5 @Wendys This ☝🏻,0,,,,
80,80,1582203646011674625,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys  When are you gonna open stores in Australia,0,,,,
81,81,1582202939287838720,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys Shut up. You don’t actually eat these.,0,,,,
82,82,1582201203458732037,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@oldad1776 @Wendys https://t.co/ZLVZ2jHTph,1,,,,
83,83,1582201190837690368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@BravoTV @Wendys Y’all using her to promote makes me not want to eat wendys anymore,0,,,,
84,84,1582200497196650501,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys should get a Michelin Star for the Spicy Chicken Sandwich itself,0,,,,
85,85,1582200352216322049,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@Wendys HELP, W WENDY'S",0,,,,
86,86,1582200014155104257,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@flossycap_ @YouTube Its givinggg @Wendys,0,,,,
87,87,1582199981049401344,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","I’ve always knows @Wendys to be a cold blooded killer, but it’s normally meme good natured. Not bad juju like this. 🤬 https://t.co/yexEEryVeV",1,,,,
88,88,1582199268370046976,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@SleeptimusPRIME @Wendys Bro you never had a foil wrapped Wendy's breadstick, circa 1995?",1,,,,
89,89,1582198883031351296,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@Wendys Put a Wendys inside @Enterprise_Cntr,0,,,,
90,90,1582198660401463296,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",@Wendys how come you guys have forgotten items from my order the last few times I’ve been? There’s deadass only 1or 2 cars in the drive-thru and y’all can’t get the orders right? It really can’t be that hard…,0,,,,
91,91,1582198349322604544,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@RinsOreos @Wendys yep https://t.co/ARea51UDrt,0,,,,
92,92,1582198251306242050,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@BravoTV @Wendys They only serve them for breakfast which is a monstrosity,1,,,,
