,Unnamed: 0,author_id,created_at,edit_history_tweet_ids,id,public_metrics,text,likecount
0,0,59553554,2022-10-18 22:00:19+00:00,[1582491795229138945],1582491795229138945,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",@VensOxygenReal teehee.,4
1,1,59553554,2022-10-18 21:59:56+00:00,[1582491698889781249],1582491698889781249,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 12, 'quote_count': 0}",@pxsteldonutx I am the Wender.,12
2,2,59553554,2022-10-18 21:59:38+00:00,[1582491621979205632],1582491621979205632,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",@EagleOption Aight.,6
3,3,59553554,2022-10-18 21:59:29+00:00,[1582491585761005568],1582491585761005568,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",@OneKrazyKitty Way.,7
4,4,59553554,2022-10-18 21:59:22+00:00,[1582491552969990146],1582491552969990146,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",@cops_baby Gotta plan ahead.,3
5,5,59553554,2022-10-18 21:53:39+00:00,[1582490116253052928],1582490116253052928,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 5, 'quote_count': 0}",@NualaDreaming @ShadyShai_ Is it me?,5
6,6,59553554,2022-10-18 21:48:15+00:00,[1582488754874241024],1582488754874241024,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 7, 'quote_count': 0}",@Pikachu01230358 It's all coming together.,7
7,7,59553554,2022-10-18 21:47:56+00:00,[1582488678089183232],1582488678089183232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",@AxoBot 👀,4
8,8,59553554,2022-10-18 21:47:38+00:00,[1582488603376353280],1582488603376353280,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 27, 'quote_count': 0}",@Sokka__555 Reading this made me sad for you.,27
9,9,59553554,2022-10-18 21:47:07+00:00,[1582488470588489728],1582488470588489728,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",@NicholasGame47 Heck yeah.,3
10,10,59553554,2022-10-18 21:37:03+00:00,[1582485937673469953],1582485937673469953,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","@fairley_tatum Whoops, teehee.",3
